countries,totalgames,total_wins,total_loses,total_x,friendly_wins,friendly_loses,friendly_x,no_friendly_wins,no_friendly_loses,no_friendly_x,totalgames_2015_2021,total_wins_2015_2021,total_loses_2015_2021,total_x_2015_2021,total_goals_scored,total_goals_scored_in,total_goals_scored_2015_2021,total_goals_scored_in_2015_2021,category
Angola,355,123,109,123,39,41,52,84,68,71,57,19,22,16,405,374,57,62,Team_with_Fifa_Rank( 90--179)

São Tomé and Príncipe,48,8,35,5,0,7,3,8,28,2,19,4,15,0,37,116,14,44,Team_with_Fifa_Rank( 180--269)

Rwanda,246,83,100,63,17,25,25,66,75,38,48,17,19,12,264,295,53,47,Team_with_Fifa_Rank( 90--179)

Northern Cyprus,34,20,7,7,1,4,0,19,3,7,16,9,1,6,98,31,41,12,Team_with_Fifa_Rank( 180--269)

Armenia,219,57,117,45,19,31,14,38,86,31,52,19,23,10,227,374,80,90,Team_with_Fifa_Rank( 90--179)

Georgia,250,74,121,55,34,43,22,40,78,33,59,18,23,18,289,353,73,71,Team_with_Fifa_Rank( 90--179)

Azerbaijan,256,48,139,69,32,44,39,16,95,30,56,12,27,17,186,421,49,80,Team_with_Fifa_Rank( 90--179)

Kazakhstan,207,49,108,50,23,25,22,26,83,28,53,11,27,15,214,340,49,81,Team_with_Fifa_Rank( 90--179)

Tonga,56,14,36,6,0,6,1,14,30,5,11,0,11,0,67,207,4,58,Team_with_Fifa_Rank( 180--269)

Kiribati,11,0,10,1,0,0,0,0,10,1,0,0,0,0,7,126,0,0,Team_with_Fifa_Rank( 180--269)

Tuvalu,34,5,25,4,2,4,0,3,21,4,14,1,12,1,35,197,10,93,Team_with_Fifa_Rank( 180--269)

Samoa,51,16,31,4,0,3,1,16,28,3,9,3,6,0,71,169,8,39,Team_with_Fifa_Rank( 180--269)

Greenland,73,24,40,9,1,6,1,23,34,8,9,5,1,3,140,147,15,13,Team_with_Fifa_Rank( 180--269)

Liechtenstein,207,17,163,27,7,48,8,10,115,19,51,5,38,8,93,581,23,139,Team_with_Fifa_Rank( 90--179)

Bhutan,81,8,68,5,2,11,0,6,57,5,31,4,26,1,48,323,16,134,Team_with_Fifa_Rank( 90--179)

Niue,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,33,0,0,Team_with_Fifa_Rank( 180--269)

American Samoa,48,5,41,2,0,1,0,5,40,2,9,3,5,1,36,306,15,39,Team_with_Fifa_Rank( 180--269)

Belize,81,19,50,12,8,5,5,11,45,7,23,9,12,2,88,164,29,33,Team_with_Fifa_Rank( 90--179)

Cayman Islands,93,19,60,14,2,15,1,17,45,13,13,4,8,1,92,237,8,37,Team_with_Fifa_Rank( 180--269)

Anguilla,63,3,55,5,1,11,2,2,44,3,16,0,14,2,37,261,5,70,Team_with_Fifa_Rank( 180--269)

British Virgin Islands,93,16,63,14,9,14,5,7,49,9,14,0,12,2,79,296,8,45,Team_with_Fifa_Rank( 180--269)

Palau,2,0,2,0,0,2,0,0,0,0,0,0,0,0,4,21,0,0,Team_with_Fifa_Rank( 180--269)

Sint Maarten,34,10,19,5,1,1,2,9,18,3,11,2,8,1,44,92,14,48,Team_with_Fifa_Rank( 180--269)

Namibia,232,63,107,62,10,30,21,53,77,41,58,24,22,12,238,334,62,58,Team_with_Fifa_Rank( 90--179)

Ynys Môn,61,32,18,11,1,0,0,31,18,11,14,9,4,1,112,89,31,22,Team_with_Fifa_Rank( 180--269)

Shetland,51,18,26,7,0,0,0,18,26,7,13,4,8,1,85,102,25,27,Team_with_Fifa_Rank( 180--269)

Åland Islands,46,21,19,6,0,0,0,21,19,6,8,3,2,3,73,75,8,8,Team_with_Fifa_Rank( 180--269)

Saint Martin,44,14,27,3,6,3,0,8,24,3,11,4,7,0,51,127,14,31,Team_with_Fifa_Rank( 180--269)

San Marino,172,1,165,6,1,15,1,0,150,5,45,0,43,2,24,730,4,184,Team_with_Fifa_Rank( 180--269)

Montserrat,42,9,27,6,0,1,0,9,26,6,14,5,4,5,44,143,16,15,Team_with_Fifa_Rank( 90--179)

Slovenia,258,91,104,63,26,37,20,65,67,43,54,19,20,15,315,309,66,49,Team_with_Fifa_Rank( 1--89)

Jersey,82,55,16,11,12,7,6,43,9,5,12,9,2,1,181,80,38,9,Team_with_Fifa_Rank( 180--269)

Guernsey,77,37,23,17,4,12,7,33,11,10,14,10,2,2,169,102,41,14,Team_with_Fifa_Rank( 180--269)

Isle of Wight,44,23,14,7,0,0,0,23,14,7,4,2,1,1,106,56,7,3,Team_with_Fifa_Rank( 180--269)

Turkmenistan,138,52,63,23,11,25,7,41,38,16,29,10,15,4,214,206,32,48,Team_with_Fifa_Rank( 90--179)

Tajikistan,150,59,64,27,14,28,12,45,36,15,45,14,21,10,227,218,58,66,Team_with_Fifa_Rank( 90--179)

Uzbekistan,281,122,101,58,37,52,28,85,49,30,63,30,24,9,458,333,84,62,Team_with_Fifa_Rank( 1--89)

Eritrea,72,11,45,16,2,5,2,9,40,14,4,0,4,0,48,126,2,9,Team_with_Fifa_Rank( 180--269)

Czech Republic,308,166,82,60,53,32,26,113,50,34,64,30,26,8,551,304,99,82,Team_with_Fifa_Rank( 1--89)

Gibraltar,107,32,64,11,4,10,4,28,54,7,50,6,39,5,146,256,21,170,Team_with_Fifa_Rank( 180--269)

Isle of Man,49,29,16,4,0,0,0,29,16,4,14,12,2,0,156,75,65,15,Team_with_Fifa_Rank( 180--269)

North Macedonia,246,73,110,63,36,35,30,37,75,33,53,20,21,12,288,332,75,63,Team_with_Fifa_Rank( 1--89)

Bosnia and Herzegovina,230,88,90,52,23,33,23,65,57,29,57,23,19,15,330,310,87,67,Team_with_Fifa_Rank( 1--89)

Canary Islands,4,3,1,0,3,1,0,0,0,0,0,0,0,0,11,3,0,0,Team_with_Fifa_Rank( 180--269)

Maldives,159,47,86,26,6,22,9,41,64,17,39,13,24,2,220,352,56,84,Team_with_Fifa_Rank( 90--179)

Andorra,175,6,148,21,3,33,9,3,115,12,52,3,38,11,48,454,13,105,Team_with_Fifa_Rank( 90--179)

Frøya,30,6,22,2,0,0,0,6,22,2,4,0,3,1,53,117,7,17,Team_with_Fifa_Rank( 180--269)

Hitra,19,4,14,1,0,0,0,4,14,1,11,3,7,1,24,82,18,34,Team_with_Fifa_Rank( 180--269)

U.S. Virgin Islands,56,7,43,6,1,7,3,6,36,3,19,4,15,0,29,243,10,54,Team_with_Fifa_Rank( 180--269)

Northern Mariana Islands,24,2,20,2,1,4,1,1,16,1,5,0,4,1,18,107,2,25,Team_with_Fifa_Rank( 180--269)

Turks and Caicos Islands,29,6,21,2,0,3,0,6,18,2,12,3,8,1,24,120,14,62,Team_with_Fifa_Rank( 180--269)

Micronesia,7,1,6,0,1,2,0,0,4,0,0,0,0,0,8,59,0,0,Team_with_Fifa_Rank( 180--269)

Gotland,30,11,15,4,0,0,0,11,15,4,8,2,6,0,81,57,22,16,Team_with_Fifa_Rank( 180--269)

Saare County,35,5,25,5,0,0,0,5,25,5,8,2,4,2,41,89,14,17,Team_with_Fifa_Rank( 180--269)

Rhodes,18,11,5,2,0,0,0,11,5,2,0,0,0,0,29,19,0,0,Team_with_Fifa_Rank( 180--269)

Tibet,13,0,12,1,0,3,0,0,9,1,5,0,4,1,6,55,4,20,Team_with_Fifa_Rank( 180--269)

Orkney,21,5,16,0,0,0,0,5,16,0,8,3,5,0,23,72,10,16,Team_with_Fifa_Rank( 180--269)

Falkland Islands,29,6,23,0,0,0,0,6,23,0,8,1,7,0,28,108,6,24,Team_with_Fifa_Rank( 180--269)

Monaco,12,5,4,3,4,2,3,1,2,0,1,0,0,1,15,52,0,0,Team_with_Fifa_Rank( 180--269)

Mayotte,18,3,10,5,0,3,4,3,7,1,0,0,0,0,29,37,0,0,Team_with_Fifa_Rank( 180--269)

Vatican City,6,0,4,2,0,4,2,0,0,0,1,0,0,1,2,15,0,0,Team_with_Fifa_Rank( 180--269)

East Timor,51,4,44,3,1,5,0,3,39,3,22,1,20,1,42,173,8,76,Team_with_Fifa_Rank( 180--269)

Alderney,19,3,16,0,0,0,0,3,16,0,11,2,9,0,15,75,11,44,Team_with_Fifa_Rank( 180--269)

Sark,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,70,0,0,Team_with_Fifa_Rank( 180--269)

Western Isles,28,11,14,3,0,0,0,11,14,3,12,4,7,1,44,70,14,41,Team_with_Fifa_Rank( 180--269)

Kosovo,49,18,21,10,10,4,3,8,17,7,44,16,19,9,70,74,60,64,Team_with_Fifa_Rank( 90--179)

Republic of St. Pauli,4,1,2,1,0,0,0,1,2,1,0,0,0,0,10,5,0,0,Team_with_Fifa_Rank( 180--269)
